,Parameter,splib07a_Augite_WS592_Pyroxene_BECKb_AREF.txt
0,HCPINDEX2,0.14221012446370837
1,LCPINDEX2,-0.07124775206926393
2,OLINDEX3,0.3755144963329568
3,SINDEX2,-0.05342353772963615
4,GINDEX,-0.014351919468288418
5,D460,-0.0328634658735929
6,BD530_2,-0.15188178786075346
7,BD670,0.04106105217592593
8,D700,0.02427131701734797
9,BD875,-0.23144444308270806
10,BD920_2,0.16039337918020802
11,BD1200,-0.030367887704728647
12,BD1300,0.022749926295772105
13,BD1400,0.008571598372806521
14,BD1450,-0.0052595848249599175
15,BD1750,-0.014351900327256972
16,BD1900r2,0.04697346957337989
17,BD1900_2,0.047786559671359474
18,BD2100_2,0.0016962645380579344
19,BD2100_3,0.0005344627315843065
20,BD2165,-0.0004073531675374831
21,BD2190,0.0038791104302868806
22,D2200,0.014298158046663678
23,BD2210_2,0.014974014373957512
24,BD2250,0.025003884158406042
25,BD2265,0.024331276360513354
26,BD2290,0.005128464906794861
27,D2300,0.02877193581941717
28,BD2355,0.008914959268571665
29,BDCARB,0.024451039487388693
30,MIN2295_2480,0.014302501617194707
31,MIN2250,0.021532468478270284
32,MIN2345_2537,0.004624112886288945
33,ISLOPE,0.19214167601683033
34,RPEAK1,0.3786219813439837
35,BDI1000VIS,0.15227501086916462
36,IRR2,1.0507586232119435
